iso3,population,year
AFE,769280888,2024
AFW,521764076,2024
ARB,492612632,2024
CSS,4539060,2024
CEB,100061963,2024
EAR,3552278604,2024
EAS,2388319494,2024
EAP,2141122258,2024
TEA,2114653077,2024
EMU,351161936,2024
ECS,928263208,2024
ECA,250281521,2024
TEC,459734030,2024
EUU,450228188,2024
FCS,1081767572,2024
HPC,941413026,2024
IBD,4979421568,2024
IBT,6926222113,2024
IDB,676957651,2024
IDX,1269842894,2024
IDA,1946800545,2024
LTE,2328628339,2024
LCN,662186388,2024
LAC,594158638,2024
TLA,647003746,2024
LDC,1187777591,2024
LMY,6563501708,2024
MEA,813146136,2024
MNA,741690916,2024
TMN,736401764,2024
MIC,5938893610,2024
NAC,381464223,2024
OED,1396877448,2024
OSS,12931878,2024
PSS,2722467,2024
PST,1128377826,2024
PRE,1105951788,2024
SST,20193405,2024
SAS,1677384532,2024
TSA,1677384532,2024
SSF,1291044964,2024
SSA,1158863843,2024
TSS,1291044964,2024
WLD,8141808945,2024
AFG,42647492,2024
ALB,2377128,2024
DZA,46814308,2024
ASM,46765,2024
AND,81938,2024
AGO,37885849,2024
ATG,93772,2024
ARG,45696159,2024
ARM,3033500,2024
ABW,107995,2024
AUS,27196812,2024
AUT,9177982,2024
AZE,10202830,2024
BHS,401283,2024
BHR,1588670,2024
BGD,173562364,2024
BRB,282467,2024
BLR,9132629,2024
BEL,11858610,2024
BLZ,417072,2024
BEN,14462724,2024
BMU,64636,2024
BTN,791524,2024
BOL,12413315,2024
BIH,3164253,2024
BWA,2521139,2024
BRA,211998573,2024
VGB,39471,2024
BRN,462721,2024
BGR,6441421,2024
BFA,23548781,2024
BDI,14047786,2024
CPV,524877,2024
KHM,17638801,2024
CMR,29123744,2024
CAN,41288599,2024
CYM,74457,2024
CAF,5330690,2024
TCD,20299123,2024
CHI,168126,2024
CHL,19764771,2024
CHN,1408975000,2024
COL,52886363,2024
COM,866628,2024
COD,109276265,2024
COG,6332961,2024
CRI,5129910,2024
CIV,31934230,2024
HRV,3866200,2024
CUB,10979783,2024
CUW,155967,2024
CYP,1358282,2024
CZE,10905028,2024
DNK,5976992,2024
DJI,1168722,2024
DMA,66205,2024
DOM,11427557,2024
ECU,18135478,2024
EGY,116538258,2024
SLV,6338193,2024
GNQ,1892516,2024
ERI,3535603,2024
EST,1372341,2024
SWZ,1242822,2024
ETH,132059767,2024
FRO,54681,2024
FJI,928784,2024
FIN,5619911,2024
FRA,68551653,2024
PYF,281807,2024
GAB,2538952,2024
GMB,2759988,2024
GEO,3699557,2024
DEU,83516593,2024
GHA,34427414,2024
GIB,39329,2024
GRC,10405134,2024
GRL,56836,2024
GRD,117207,2024
GUM,167777,2024
GTM,18406359,2024
GIN,14754785,2024
GNB,2201352,2024
GUY,831087,2024
HTI,11772557,2024
HND,10825703,2024
HKG,7524100,2024
HUN,9562065,2024
ISL,386506,2024
IND,1450935791,2024
IDN,283487931,2024
IRN,91567738,2024
IRQ,46042015,2024
IRL,5395790,2024
IMN,84160,2024
ISR,9974400,2024
ITA,58952704,2024
JAM,2839175,2024
JPN,123975371,2024
JOR,11552876,2024
KAZ,20592571,2024
KEN,56432944,2024
KIR,134518,2024
PRK,26498823,2024
KOR,51751065,2024
XKX,1594353,2024
KWT,4897263,2024
KGZ,7221868,2024
LAO,7769819,2024
LVA,1866124,2024
LBN,5805962,2024
LSO,2337423,2024
LBR,5612817,2024
LBY,7381023,2024
LIE,40450,2024
LTU,2888278,2024
LUX,677012,2024
MAC,687000,2024
MDG,31964956,2024
MWI,21655286,2024
MYS,35557673,2024
MDV,527799,2024
MLI,24478595,2024
MLT,568847,2024
MHL,37548,2024
MRT,5169395,2024
MUS,1245779,2024
MEX,130861007,2024
FSM,113160,2024
MDA,2402306,2024
MCO,38631,2024
MNG,3524788,2024
MNE,623525,2024
MAR,38081173,2024
MOZ,34631766,2024
MMR,54500091,2024
NAM,3030131,2024
NRU,11947,2024
NPL,29651054,2024
NLD,17993485,2024
NCL,292639,2024
NZL,5287500,2024
NIC,6916140,2024
NER,27032412,2024
NGA,232679478,2024
MKD,1824359,2024
MNP,44278,2024
NOR,5572279,2024
OMN,5281538,2024
PAK,251269164,2024
PLW,17695,2024
PAN,4515577,2024
PNG,10576502,2024
PRY,6929153,2024
PER,34217848,2024
PHL,115843670,2024
POL,36559233,2024
PRT,10694681,2024
PRI,3203295,2024
QAT,2857822,2024
ROU,19051804,2024
RUS,143533851,2024
RWA,14256567,2024
WSM,218019,2024
SMR,33977,2024
STP,235536,2024
SAU,35300280,2024
SEN,18501984,2024
SRB,6586476,2024
SYC,121354,2024
SLE,8642022,2024
SGP,6036860,2024
SXM,43350,2024
SVK,5422069,2024
SVN,2127400,2024
SLB,819198,2024
SOM,19009151,2024
ZAF,64007187,2024
SSD,11943408,2024
ESP,48848840,2024
LKA,21916000,2024
KNA,46843,2024
LCA,179744,2024
MAF,26129,2024
VCT,100616,2024
SDN,50448963,2024
SUR,634431,2024
SWE,10569709,2024
CHE,9005582,2024
SYR,24672760,2024
TJK,10590927,2024
TZA,68560157,2024
THA,71668011,2024
TLS,1400638,2024
TGO,9515236,2024
TON,104175,2024
TTO,1368333,2024
TUN,12277109,2024
TUR,85518661,2024
TKM,7494498,2024
TCA,46535,2024
TUV,9646,2024
UGA,50015092,2024
UKR,37860221,2024
ARE,10986400,2024
GBR,69226000,2024
USA,340110988,2024
URY,3386588,2024
UZB,36361859,2024
VUT,327777,2024
VEN,28405543,2024
VNM,100987686,2024
VIR,104377,2024
PSE,5289152,2024
YEM,40583164,2024
ZMB,21314956,2024
ZWE,16634373,2024
